"name","title","date","s","work"
"Pascal Forthuny","Sur les cendres d'Orphée","1940","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/5a35f51673be94afb93e18e3e8fd91fc/#about"
"Pascal Forthuny","Où luisent de beaux feux...poésies","1938","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/750fae9d74f1d405778b3d37a3800926/#about"
"Pascal Forthuny","Plus haut que l'amour. Icare, l'as de coeur","1910","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/76f1853c01f9863ce91109dc75d89122/#about"
"Pascal Forthuny","Les Amants chinois","1924","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/980f6b7eff1ad5e5a693bc094dcab02d/#about"
"Pascal Forthuny","Le Tendre Voyage à Paris ou Ne badine pas avec l'amour","1922","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/e5e30ae46071da2f34ab385d336f9c43/#about"
"Pascal Forthuny","Pages glorieuses","1915","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/ed2b882e10edbdda139d9bf874120c36/#about"
"Pascal Forthuny","Entretiens avec une ombre. Devant la mort de Sardanapale et l'entrée des Croisés à Constantinople","1929","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/f0055bc49f183e5bccfcb088a15ea34e/#about"
"Albert-Louis Gascard","Analyse de concrétions sous-cutanées","1900","http://data.bnf.fr/ark:/12148/cb10747107k","http://data.bnf.fr/temp-work/883ff1a172f64a70ea66c51290ca45ff/#about"
"Albert-Louis Gascard","Notice sur Jean-Auguste Houzeau (1829-1911)","1913","http://data.bnf.fr/ark:/12148/cb10747107k","http://data.bnf.fr/temp-work/2180bc3452204c57f60906e5835b488b/#about"
"Albert-Louis Gascard","Recherches sur les rayons X et leurs applications","1898","http://data.bnf.fr/ark:/12148/cb10747107k","http://data.bnf.fr/temp-work/39865dd4a0a296938a79e23055458d03/#about"
"Albert-Louis Gascard","Procédé colorimétrique de dosage de la morphine en toxicologie","1906","http://data.bnf.fr/ark:/12148/cb10747107k","http://data.bnf.fr/temp-work/522afc9634106289cb5d22aa559a5956/#about"
"Albert-Louis Gascard","Rapport sur le 10e Congrès international d'hygiène et de démographie tenu à Paris du 10 au 17 août 1900","1901","http://data.bnf.fr/ark:/12148/cb10747107k","http://data.bnf.fr/temp-work/97db74fc42be83a304aa22272f9f9a84/#about"
"Albert-Louis Gascard","Hygiène industrielle. Enquête sur l'encombrement de la cité pétrolière à Rouen","1908","http://data.bnf.fr/ark:/12148/cb10747107k","http://data.bnf.fr/temp-work/5c2eb94ad676919b9e3628a32591888a/#about"
"Albert-Louis Gascard","Les Arsenicaux organiques","1912","http://data.bnf.fr/ark:/12148/cb10747107k","http://data.bnf.fr/temp-work/cc1bfaa8adebd9e1ba9e4ff89f774a4a/#about"
"Jean Madeline","Le détroit","1904","http://data.bnf.fr/ark:/12148/cb133056913","http://data.bnf.fr/temp-work/325f93dd94ca0c1fb8b63c58345b6331/#about"
"Jean Madeline","Contes sur porcelaine","1893","http://data.bnf.fr/ark:/12148/cb133056913","http://data.bnf.fr/temp-work/9c441b08a0a90f60fef3a21580965a05/#about"
"Maurice Raynaud","Proposition de loi tendant à modifier l'article 2148 du code civil, relatif aux formalités d'inscription des privilèges et hypothèques","1906","http://data.bnf.fr/ark:/12148/cb13211902j","http://data.bnf.fr/temp-work/2feed212ea2e14177da2998cb55e6e6a/#about"
"Jean Madeline","La conquête","1897","http://data.bnf.fr/ark:/12148/cb133056913","http://data.bnf.fr/temp-work/7be643724a892037f304852001868ecb/#about"
"André Vervoort","Verdun","1916","http://data.bnf.fr/ark:/12148/cb10380986c","http://data.bnf.fr/temp-work/8a1f7ecc2b904683430fbab1452405ff/#about"
"Fernand de Ramel","Proposition de loi ayant pour objet d'ouvrir au ministre de l'intérieur un crédit de 800000 fr. pour dommages résultant des inondations dans le Gard","1900","http://data.bnf.fr/ark:/12148/cb10449907r","http://data.bnf.fr/temp-work/2879cd388a8cacb2a15ab956b95d68ac/#about"
"Jean Madeline","Le voyage de M. Anatole France","1901","http://data.bnf.fr/ark:/12148/cb133056913","http://data.bnf.fr/temp-work/34ff4f9caa0f5f31c6fca3ce4636d745/#about"
"Maurice Raynaud","Proposition de loi sur la limitation des effets de la saisie-arrêt","1906","http://data.bnf.fr/ark:/12148/cb13211902j","http://data.bnf.fr/temp-work/ada6da8f8575f73eef51cde4f32912ac/#about"
"Maurice Raynaud","Proposition de loi concernant les conducteurs de voitures automobiles","1906","http://data.bnf.fr/ark:/12148/cb13211902j","http://data.bnf.fr/temp-work/e06b342788697740a1da95fc8681e544/#about"
"Pascal Forthuny","Le club des canards mandarins","1924","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/a624bd3fb678d8708baf7514ace1a5e6/#about"
"H  Boegner","L'éducation et l'idée de patrie","1936","http://data.bnf.fr/ark:/12148/cb10210702b","http://data.bnf.fr/temp-work/2a0690dbdaf6277eb6a3d5f511f72ae3/#about"
"René Benoît","Nouvelle détermination du rapport des longueurs d'onde fondamentales avec l'unité métrique","1913","http://data.bnf.fr/ark:/12148/cb102999977","http://data.bnf.fr/temp-work/1c2d73498e5efafd82e79582203dcb63/#about"
"Fernand de Ramel","La question ouvrière et le régime politique","1905","http://data.bnf.fr/ark:/12148/cb10449907r","http://data.bnf.fr/temp-work/92ac3a3301239cb0311d38f188d38412/#about"
"Paul Zahori","Mademoiselle Sherlock","1932","http://data.bnf.fr/ark:/12148/cb10707651m","http://data.bnf.fr/temp-work/985c7dcf0234f4b03be6b110ab080747/#about"
"Pascal Forthuny","Bernard Naudin","1919","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/ee35c70c002716731a0d13a061e98eaa/#about"
"Paul Zahori","La Chaîne infernale","1926","http://data.bnf.fr/ark:/12148/cb10707651m","http://data.bnf.fr/temp-work/f26965a2bab66341f8776286a5dd5d85/#about"
"Pascal Forthuny","Alchimie","1947","http://data.bnf.fr/ark:/12148/cb12109330j","http://data.bnf.fr/temp-work/2b623e08bbbed76597e5b1ba4c1cb586/#about"
"Paul Zahori","La Fille du luthier","1930","http://data.bnf.fr/ark:/12148/cb10707651m","http://data.bnf.fr/temp-work/98ec6143c51fe4d3770292d58107a40d/#about"
"Albert-Louis Gascard","Rapport sur le four crématoire du Cimetière monumental","1900","http://data.bnf.fr/ark:/12148/cb10747107k","http://data.bnf.fr/temp-work/b05e50f4090ae7c51ba23e411bd4e760/#about"
"André Vervoort","Les Juifs et la guerre","1917","http://data.bnf.fr/ark:/12148/cb10380986c","http://data.bnf.fr/temp-work/38bb251cecc51094d1cff5737b16e6ae/#about"
"Maurice Raynaud","Proposition de loi tendant à modifier et à compléter les articles 9 et 10 de la loi du 11 décembre 1905 sur la séparation des Eglises et de l'Etat","1907","http://data.bnf.fr/ark:/12148/cb13211902j","http://data.bnf.fr/temp-work/73adf9ad01373f3f409c22ba39586f42/#about"
"Maurice Raynaud","Proposition de loi tendant à modifier le point de départ du délai de dix mois imposé à la femme divorcée avant de se remarier","1906","http://data.bnf.fr/ark:/12148/cb13211902j","http://data.bnf.fr/temp-work/948a8e8873d7d7d6a056b6d77fc4773c/#about"