pays,ville,coordonnesgroup
Inde,Saswad,Point(74.0 18.55)
Inde,Tarakeswar,Point(88.02 22.89)
Inde,Calcutta,Point(88.37 22.5675)
Inde,Vidisha,Point(77.8061 23.5239)
Inde,Dindigul,Point(77.95 10.35)
Inde,Ludhiana,Point(75.848611111 30.908333333)
Inde,Jalore,Point(72.616666666 25.35)
Inde,North Barrackpur,Point(88.34591 22.77687)
Inde,Jaynagar Majilpur,Point(88.4183569 22.1744885)
Inde,Osmanabad,Point(76.05 18.166666666)
Inde,Marehra,Point(78.566666666 27.75)
Inde,Jamtara,Point(86.8 23.95)
Inde,Gorakhpur,Point(83.366666666 26.761111111)
Inde,Hajipur,Point(85.22 25.68)
Inde,Namakkal,Point(78.166666666 11.233333333)
Inde,Howrah,Point(88.3251045 22.5736296)
Inde,Janjgir,Point(82.567 22.017)
Inde,Kurnool,Point(78.035 15.822222222)
Inde,Āmer,t1697478516
Inde,Porbandar,Point(69.604722222 21.6425)
Inde,Kanpur,Point(80.331111111 26.4725)
Inde,Batalik,Point(76.566666666 34.833333333)
Inde,Chandigarh,Point(76.791111111 30.735277777)
Inde,Erode,Point(77.717222222 11.340833333)
Inde,Mandsaur,Point(75.08 24.03)
Inde,Ahmadnagar,Point(74.733333333 19.083333333)
Inde,Goindval,Point(75.15 31.36666667)
Inde,Godavarikhani,Point(79.513311111 18.751891666)
Inde,Habra,Point(88.63 22.83)
Inde,Sitapur,Point(80.683333333 27.566666666)
Inde,Anantnag,Point(75.15 33.73)
Inde,Nurpur,Point(75.9 32.3)
Inde,Nala Sopara,Point(72.8613 19.4154)
Inde,Motihari,Point(84.916666666 26.65)
Inde,Paravur,Point(76.7 8.78) | Point(76.7 8.78333333)
Inde,Coimbatore,Point(76.966666666 11.0)
Inde,Moradabad,Point(78.728741666 28.843236111) | Point(78.776944444 28.838888888)
Inde,Wategaon,Point(74.1611 17.1022)
Inde,Vadodara,Point(73.2 22.3)
Inde,Kohima,Point(94.119444444 25.666666666)
Inde,Sirhind,Point(76.233333333 30.366666666)
Inde,Hugli-Chuchura,Point(88.39 22.9)
Inde,Barwani,Point(74.9 22.03) | Point(74.899722222 22.032222222)
Inde,Meerut,Point(77.7 28.99)
Inde,Kanchipuram,Point(79.707777777 12.830833333)
Inde,Hyderabad,Point(78.475166 17.361719)
Inde,Nagapattinam,Point(79.833333333 10.766666666)
Inde,Mowa,Point(81.667648 21.275101)
Inde,Devarakonda,Point(78.9333 16.7)
Inde,Bombay,Point(72.8773928 19.0759899)
Inde,Bareli,Point(79.415 28.364)
Inde,Lingshet,Point(76.82441 33.9036)
Inde,Amaravati,Point(80.4681 16.5275)
Inde,Agara,Point(77.641 12.921)
Inde,Mathura,Point(77.683333333 27.483333333)
Inde,Dras,Point(75.77 34.45)
Inde,Latur,Point(76.583333333 18.4)
Inde,Varangal,Point(79.601111111 17.975555555)
Inde,Durgawati,Point(83.530833333 25.211388888)
Inde,Raiganj,Point(88.116666666 25.616666666)
Inde,Haldia,Point(88.06 22.03)
Inde,Patiala,Point(76.633333333 30.566666666)
Inde,Ashok Nagar,Point(77.43 24.34)
Inde,Dediapada,Point(73.58333333 21.63333333)
Inde,Pathankot,Point(75.649722222 32.268888888)
Inde,Rajahmundry,Point(81.783333333 16.983333333)
Inde,Bally,Point(88.34 22.65)
Inde,Mysore,Point(76.653055555 12.308611111)
Inde,Munger,Point(86.465 25.381)
Inde,Rewa,Point(81.283333333 24.516666666)
Inde,Jammu,Point(74.85 32.733333333)
Inde,Bangalore,Point(77.5912997 12.9791198)
Inde,Chennai,Point(80.275 13.0825)
Inde,Asansol,Point(86.966666666 23.683333333)
Inde,Ayodhya,Point(82.200555555 26.803611111)
Inde,Bîkâner,Point(73.316944444 28.018055555)
Inde,Jodhpur,Point(73.033333333 26.466666666)
Inde,Nasik,Point(73.783333333 20.0)
Inde,Palanpur,Point(72.433333333 24.166666666)
Inde,Sasaram,Point(84.03 24.95)
Inde,Ahmedabad,Point(72.58 23.03)
Inde,Manali,Point(77.17 32.204444444)
Inde,Rajgir,Point(85.42 25.03)
Inde,Jamnagar,Point(70.07 22.47)
Inde,Kochi,Point(76.283333333 9.966666666)
Inde,Siliguri,Point(88.42 26.72)
Inde,Edappadi,Point(77.85 11.58)
Inde,Junâgadh,Point(70.47 21.52)
Inde,Vizianagaram,Point(83.416666666 18.116666666)
Inde,Naina Devi,Point(76.536394444 31.306027777)
Inde,Amravati,Point(77.75 20.933333333)
Inde,Jalgaon,Point(75.566666666 21.016666666)
Inde,Sirohi,Point(72.866666666 24.883333333)
Inde,Āgrā,Point(78.02 27.18)
Inde,Chittorgarh,Point(74.623888888 24.889444444)
Inde,South Dumdum,Point(88.4 22.61)
Inde,Amritsar,Point(74.87704 31.626917)
Inde,Khandela,Point(75.502 27.60499)
Inde,Chhoti Sadri,Point(74.7 24.38)
Inde,Jaipur,Point(75.866666666 26.916666666)
Inde,Roorkee,Point(77.888888888 29.861388888)
Inde,Rourkela,Point(84.882777777 22.249166666)
Inde,Shimla,Point(77.172222222 31.103333333)
Inde,Darjeeling,Point(88.263055555 27.041666666)
Inde,Taki,Point(88.92 22.59)
Inde,Thane,Point(72.963333333 19.18)
Inde,Mangalore,Point(74.880555555 12.870277777)
Inde,Banavasi,Point(75.0177 14.5341)
Inde,Bhadreswar,Point(88.35 22.82)
Inde,Gwâlior,Point(78.193055555 26.215)
Inde,Thiruvananthapuram,Point(76.899722222 8.5)
Inde,Thrissur,Point(76.21 10.52)
Inde,Vandavasi,Point(79.62 12.5)
Inde,Thoothukudi,Point(78.133333333 8.783333333)
Inde,Margao,Point(73.958333333 15.271944444)
Inde,V.S.K.Valasai,Point(78.253611111 10.531666666)
Inde,Old Maldah,Point(88.14 25.04)
Inde,Udaipur,Point(73.683333333 24.583333333)
Inde,Nellore,Point(79.966666666 14.433333333)
Inde,Satna,Point(80.83 24.16)
Inde,Dehradun,Point(78.029 30.318)
Inde,Faridabad,Point(77.3 28.416666666)
Inde,Gangtok,Point(88.62 27.33)
Inde,Port Blair,Point(92.75 11.666666666)
Inde,Visakhapatnam,Point(83.316666666 17.733333333)
Inde,Jabalpur,Point(79.933333333 23.166666666)
Inde,Pondichéry,Point(79.83 11.93)
Inde,Rohtak,Point(76.566666666 28.9)
Inde,Baduria,Point(88.79 22.74)
Inde,Akola,Point(77.0 20.733333333)
Inde,Bîjâpur,Point(75.71537 16.82442)
Inde,Gurgaon,Point(77.033333333 28.466666666)
Inde,Jaisalmer,Point(70.916666666 26.916666666)
Inde,Solapur,Point(75.91044 17.67152) | Point(75.916666666 17.683333333)
Inde,Baharampur,Point(88.25 24.1)
Inde,Jhansi,Point(78.56962 25.44862)
Inde,Balel Pipariya,Point(71.1286 21.7588)
Inde,Rajpur Sonarpur,Point(88.432045 22.4382026)
Inde,Muzaffarpur,Point(85.383333333 26.12)
Inde,Chakradharpur,Point(85.63 22.7)
Inde,Haridwar,Point(78.166666666 29.966666666)
Inde,Gondelour,Point(79.75 11.75)
Inde,Vrindavan,Point(77.700555555 27.580555555)
Inde,Lucknow,Point(80.947 26.847)
Inde,Bardhaman,Point(87.85 23.25)
Inde,Godhra,Point(73.61488 22.77547) | Point(73.620277777 22.777222222)
Inde,Gurdaspur,Point(75.4 32.0333)
Inde,Aurangābād,Point(75.32 19.88)
Inde,Cuttack,Point(85.866666666 20.45) | Point(85.87927 20.46497)
Inde,Jamshedpur,Point(86.183333333 22.8)
Inde,Shillong,Point(91.878888888 25.574444444)
Inde,Cambay,Point(72.619408 22.313114)
Inde,Kapurthala,Point(75.38 31.38)
Inde,Kânyâkumârî,Point(77.541666666 8.091111111)
Inde,Sultanpur,Point(82.071666666 26.261666666)
Inde,Wardha,Point(78.616666666 20.75)
Inde,Bhavnagar,Point(72.136944444 21.765)
Inde,Gobardanga,Point(88.76 22.87)
Inde,Alwar,Point(76.625 27.56246) | Point(76.616666666 27.566666666)
Inde,Sangli,Point(74.566666666 16.866666666)
Inde,Jalna,Point(75.883333333 19.833333333)
Inde,Old Delhi,Point(77.23 28.66)
Inde,Ulhasnagar,Point(73.15 19.216666666)
Inde,Panihati,Point(88.37 22.69)
Inde,Valsad,Point(72.933333333 20.633333333)
Inde,Mohali,Point(76.718055555 30.719444444)
Inde,Quilon,Point(76.586388888 8.885277777)
Inde,Sārnāth,Point(83.021388888 25.381111111)
Inde,Silvassa,Point(73.016666666 20.266666666)
Inde,Mirzapur,Point(82.58 25.15)
Inde,Anjangaon,Point(77.3091 21.16516)
Inde,Ashoknagar Kalyangarh,Point(88.633 22.833)
Inde,Guntakal,Point(77.38 15.17)
Inde,Itanagar,Point(93.62 27.1)
Inde,North Dumdum,Point(88.41907 22.65208)
Inde,Kullu,Point(77.1 31.96)
Inde,Kota,Point(75.83 25.18)
Inde,Guwahati,Point(91.745833333 26.172222222)
Inde,Vijayawada,Point(80.616666666 16.516666666)
Inde,Imphāl,Point(93.95 24.82)
Inde,Kolhapur,Point(74.233333333 16.7)
Inde,Panaji,Point(73.83 15.48)
Inde,Vasai-Virar,Point(72.8 19.47)
Inde,Baidyabati,Point(88.32 22.79)
Inde,New Delhi,Point(77.2090057 28.6138954)
Inde,Kadapa,Point(78.816666666 14.466666666)
Inde,Sikar,Point(75.139722222 27.611944444)
Inde,Bilara,Point(73.7056 26.1792)
Inde,Nagercoil,Point(77.43 8.17)
Inde,Kakinada,Point(82.216666666 16.933333333)
Inde,Halebid,Point(75.991666666 13.216944444)
Inde,Bhubaneswar,Point(85.828055555 20.264444444)
Inde,Prayagraj,Point(81.85 25.45)
Inde,Bhilai,Point(81.716666666 21.366666666)
Inde,Dhanbad,Point(86.435 23.79278)
Inde,Noida,Point(77.32 28.57)
Inde,Nagpur,Point(79.083055555 21.153888888)
Inde,Guntur,Point(80.45 16.3)
Inde,Karimnagar,Point(79.15 18.43333333)
Inde,English Bazar,Point(88.15 25.0)
Inde,Jalandhar,Point(75.579166666 31.325555555)
Inde,Salem,Point(78.166666666 11.65)
Inde,Tanjavûr,Point(79.15 10.8)
Inde,Ambala,Point(76.7725 30.378611111)
Inde,Hassan,Point(76.102777777 13.005)
Inde,Indore,Point(75.847222222 22.720555555)
Inde,Kamarhati,Point(88.37 22.67)
Inde,Bénarès,Point(83.012777777 25.318888888)
Inde,Pataliputra,Point(85.144 25.611)
Inde,Patna,Point(85.141388888 25.61)
Inde,Surate,Point(72.83 21.17)
Inde,Serampore,Point(88.34 22.75)
Inde,Ooty,Point(76.693888888 11.408611111)
Inde,Bansberia,Point(88.4 22.97)
Inde,Agartala,Point(91.266666666 23.833333333)
Inde,Srinagar,Point(74.806111111 34.091111111)
Inde,Ajmer,Point(74.639 26.468)
Inde,Ghaziabad,Point(77.416666666 28.666666666)
Inde,"Mandi, Himachal Pradesh",Point(76.92 31.72)
Inde,Naihati,Point(88.42 22.9)
Inde,Purî,Point(85.816666666 19.8)
Inde,Tiruchirappalli,Point(78.692777777 10.826944444)
Inde,Kanchrapara,Point(88.43 22.97)
Inde,Ranchi,Point(85.334722222 23.355555555)
Inde,Rajarhat Gopalpur,Point(88.52 22.61)
Inde,Saharanpur,Point(77.546 29.964)
Inde,Tiruppur,Point(77.3398 11.1075)
Inde,Kulti,Point(86.85 23.73)
Inde,Pimpri Chinchwad,Point(73.813055555 18.627777777)
Inde,Konnagar,Point(88.35 22.7)
Inde,Ujjain,Point(75.777222222 23.182777777)
Inde,Hisar,Point(75.736666666 29.148888888)
Inde,Lansdowne,Point(78.68 29.83)
Inde,Durg,Point(81.28 21.19)
Inde,Nadiad,Point(72.87 22.7)
Inde,Raipur,Point(81.6336833 21.2379468)
Inde,Junnar,Point(73.88 19.2)
Inde,Secunderabad,Point(78.5 17.45)
Inde,Akbarpur,Point(82.62 26.52)
Inde,Nizamabad,Point(78.094 18.671997222)
Inde,Dispur,Point(91.77 26.15)
Inde,Sambhal,Point(78.55 28.58)
Inde,Adoni,Point(77.28 15.63)
Inde,Rishikesh,Point(78.3 30.1)
Inde,Bhâratpur,Point(77.49 27.217222222)
Inde,Auroville,Point(79.810555555 12.006944444)
Inde,Kharagpur,Point(87.323653 22.330239)
Inde,Panna,Point(80.2 24.72)
Inde,Bangaon,Point(88.82 23.07)
Inde,Begusarai,Point(86.13 25.42)
Inde,Farrukhabad,Point(79.63 27.37)
Inde,Gandhinagar,Point(72.68 23.22)
Inde,Balasore,Point(86.931666666 21.494166666)
Inde,Ratlam,Point(75.066666666 23.316666666)
Inde,Davanagere,Point(75.916666666 14.466666666)
Inde,Garulia,Point(88.37 22.82)
Inde,Hospet,Point(76.4 15.2667)
Inde,Durgapur,Point(87.32 23.55)
Inde,Basirhat,Point(88.894166666 22.657222222)
Inde,Chandernagor,Point(88.383333333 22.866666666)
Inde,Ambarnath,Point(73.186 19.209)
Inde,Avadi,Point(80.1 13.12)
Inde,Sultan Bathery,Point(76.28 11.67)
Inde,Gaya,Point(85.016666666 24.75)
Inde,Bhiwandi,Point(73.066666666 19.3)
Inde,Bilaspur,Point(82.016666666 22.15)
Inde,Champdani,Point(88.37 22.8)
Inde,Baruipur,Point(88.4325028 22.3654432)
Inde,Nanded-Waghala,Point(77.333055555 19.149722222)
Inde,Pushkar,Point(74.55 26.5)
Inde,Khajurâho,Point(79.933333333 24.85)
Inde,Beawar,Point(74.320277777 26.101111111)
Inde,Bhilwara,Point(74.633333333 25.35)
Inde,Malegaon,Point(74.55 20.55)
Inde,Anklav,Point(72.99455 22.391269444)
Inde,Satara,Point(73.983333333 17.683333333)
Inde,Udupi,Point(74.746111111 13.332222222)
Inde,Akhnoor,Point(74.735277777 32.9)
Inde,Pune,Point(73.855287 18.519574)
Inde,Dum Dum,Point(88.42 22.62)
Inde,Srirangapatna,Point(76.694722222 12.418055555)
Inde,Ambattur,Point(80.1622 13.0983)
Inde,Darbhanga,Point(85.9 26.166666666)
Inde,Barasat,Point(88.48 22.72)
Inde,Khardaha,Point(88.38 22.72)
Inde,Tinsukia,Point(95.36 27.489166666)
Inde,Baranagar,Point(88.37 22.64)
Inde,Madhyamgram,Point(88.45 22.7)
Inde,Tirunelveli,Point(77.708055555 8.728888888)
Inde,Sri Ganganagar,Point(73.883333333 29.916666666)
Inde,Jhargram,Point(86.98 22.45)
Inde,Deoghar,Point(86.7 24.48)
Inde,Saharsa,Point(86.6 25.88)
Inde,Barnala,Point(75.54 30.37)
Inde,Behror,Point(76.28 27.88)
Inde,Maihar,Point(80.75 24.27)
Inde,Malout,Point(74.499 30.19)
Inde,Rajmahal,Point(87.84 25.05)
Inde,Barabanki,Point(81.2 26.92)
Inde,Bhiwani,Point(76.133333333 28.783333333)
Inde,Bidhan Nagar,Point(88.42 22.58)
Inde,Arambag,Point(87.78 22.88)
Inde,Arrah,Point(84.671111111 25.563055555)
Inde,Ichalkaranji,Point(74.47 16.7)
Inde,Udhampur,Point(75.13 32.93)
Inde,Chandrapur,Point(79.3 19.95)
Inde,Kairana,Point(77.2 29.4)
Inde,Bhatpara,Point(88.416666666 22.866666666)
Inde,Canacona,Point(74.0363036 15.010928)
Inde,Chakdaha,Point(88.52 23.08)
Inde,Firozpur,Point(74.6 30.9166)
Inde,New Barrackpur,Point(88.45 22.7)
Inde,Baramulla,Point(74.34 34.2)
Inde,Kolar,Point(78.133333333 13.133333333)
Inde,Greater Noida,Point(77.536011111 28.496152777)
Inde,Anantapur,Point(77.6 14.683333333)
Inde,Bhagalpur,Point(87.016666666 25.25)
Inde,Eluru,Point(81.103055555 16.711666666)
Inde,Jagdalpur,Point(82.03 19.07)
Inde,Krishnanagar,Point(88.5 23.4)
Inde,Mira-Bhayandar,Point(72.85 19.3)
Inde,Aligarh,Point(78.08 27.88)
Inde,Jawnpur,Point(82.683333333 25.733333333)
Inde,Beed,Point(75.766666666 18.983333333)
Inde,Halisahar,Point(88.42 22.95)
Inde,Belgaum,Point(74.5 15.866666666)
Inde,Nandurbar,Point(74.240555555 21.366666666) | Point(74.25 21.366666666)
Inde,Barrackpore,Point(88.36666667 22.75)
Inde,Bhopal,Point(77.416666666 23.25)
Inde,Budge Budge,Point(88.1817594 22.4827548)
Inde,Nanded,Point(77.333333333 19.15)
Inde,Kozhikode,Point(75.766666666 11.25)
Inde,Delhi,Point(77.216666666 28.666666666)
Inde,Dalkhola,Point(87.85 25.85)
Inde,Yamunanagar,Point(77.280277777 30.128888888)
Inde,Dibrugarh,Point(95.0 27.483333333)
Inde,Mandya,Point(76.895833333 12.524166666)
Inde,Nabadwip,Point(88.365736111 23.408822222)
Inde,Palakkad,Point(76.654722222 10.779166666)
Inde,Korba (Inde),Point(83.133333333 22.583333333)
Inde,Diamond Harbour,Point(88.1904741 22.1910091)
Inde,Navi Mumbai,Point(73.01 19.03)
Inde,Pali,Point(73.323333333 25.7725)
Inde,Pujali,Point(88.145241 22.4678722)
Inde,Rajkot,Point(70.798363888 22.296908333)
Inde,Kagal,Point(74.32 16.58)
Inde,Maghar,Point(83.13 26.76)
Inde,Tirupati,Point(79.42 13.65)
Inde,Quepem,Point(74.07 15.22)
Inde,Yavatmal,Point(78.133333333 20.4)
Inde,Bankura,Point(87.066666666 23.25)
Inde,Midnapore,Point(87.333333333 22.433333333)
Inde,Mahbubnagar,Point(77.983333333 16.733333333)
Inde,Madurai,Point(78.119394444 9.919661111)
Inde,Bathinda,Point(74.951944444 30.213333333)
Inde,Jalpaiguri,Point(88.733333333 26.516666666)
Inde,Gayespur,Point(88.48 22.98)
Inde,Solan,Point(77.12 30.92)
Inde,Hubli-Dharwad,Point(75.01638889 15.42444444)
Inde,Siwan,Point(84.36 26.22)
Inde,Maheshtala,Point(88.2532182 22.508621)
Inde,Mehsana,Point(72.4 23.6)
Inde,Golaghat,Point(93.969543 26.508961)
Inde,Purnia,Point(87.47 25.78)
Inde,Dhule,Point(74.783333333 20.9)
Inde,Jamuria,Point(87.08 23.7)
Inde,Washim,Point(77.15 20.1)
Inde,Umaria,Point(80.8364652 23.5245108)
Inde,Rishra,Point(88.35 22.71)
Inde,Aizawl,Point(92.716666666 23.733333333)
Inde,Jahanpanah,Point(77.246 28.521)
Inde,Ulubaria,Point(88.11 22.47)
Inde,Balurghat,Point(88.766666666 25.216666666)
